,Title,Author,Score,Ratings,Published
87,Give Me a Sign,Anna Sortino,4.24,746,2023
88,The Everything Store: Jeff Bezos and the Age of Amazon,Brad Stone,4.14,71152,2013
89,"The Witch Doesn&#39;t Burn in This One (Women Are Some Kind of Magic, #2)",Amanda Lovelace,3.74,41736,2018
90,Gentle and Lowly: The Heart of Christ for Sinners and Sufferers,Dane C. Ortlund,4.53,33329,2020
91,How to Think Like a Roman Emperor: The Stoic Philosophy of Marcus Aurelius,Donald J. Robertson,4.37,9647,2019
92,"Berries and Greed (Deep Earth Dating, #1)",Lily Mayne,4.3,1226,2023
93,花野井くんと恋の病 13 [Hananoi-kun to Koi no Yamai 13],Megumi Morino,4.8,10,2023
94,"The Sign of Four (Sherlock Holmes, #2)",Arthur Conan Doyle,3.91,147967,1890
95,The Red Tent,Anita Diamant,4.2,583281,1997
96,Inciting Joy: Essays,Ross Gay,4.17,2295,2022
97,"Wicked and Bare (Matt &amp; Madison, Part Two) (Wicked Lovers: Soldiers For Hire Book #8)",Shayla Black,4.66,143,2023
98,"The Elite (The Selection, #2)",Kiera Cass,3.95,718027,2013
99,"Magic Bites (Kate Daniels, #1)",Ilona Andrews,4.06,121844,2007
100,Accidental Attachment,Max Monroe,4.07,6539,2023
101,チェンソーマン 12 [Chainsaw Man 12],Tatsuki Fujimoto,4.35,3508,2022
102,The Four Loves,C.S. Lewis,4.16,55731,1960
103,Future of Geography,Tim  Marshall,4.04,677,2023
104,It. Goes. So. Fast.: The Year of No Do-Overs,Mary Louise Kelly,3.95,3366,2023
105,"The Maid (Molly the Maid, #1)",Nita Prose,3.8,409008,2022
106,"Jujutsu Kaisen, Vol. 05",Gege Akutami,4.48,13188,2019
107,"Daughter of the Siren Queen (Daughter of the Pirate King, #2)",Tricia Levenseller,4.09,94313,2018
108,The Power of Ritual: How to Create Meaning and Connection in Everything You Do,Casper ter Kuile,3.89,5272,2020
109,Thirst,Varsha Bajaj,4.18,2198,2022
110,The Life We&#39;re Looking For: Reclaiming Relationship in a Technological World,Andy Crouch,4.09,1145,2022
111,Cold Pursuit (Ryland &amp; St. Clair #1),Nancy Mehl,4.38,266,2023
112,Love Letters for Joy,Melissa See,3.69,156,2023
113,I&#39;m Glad My Mom Died,Jennette McCurdy,4.49,633657,2022
114,AI 2041: Ten Visions for Our Future,Kai-Fu Lee,3.87,2687,2021
