,Title,Author,Score,Ratings,Published
980,Thief Liar Lady,D.L. Soria,3.72,448,2023
981,Narrative of the Life of Frederick Douglass,Frederick Douglass,4.1,118111,1845
982,Orthodoxy,G.K. Chesterton,4.17,36957,1908
983,The Guns of August,Barbara W. Tuchman,4.17,73343,1962
984,Vers la beauté,David Foenkinos,4.11,7061,2018
985,Real Food for Pregnancy: The Science and Wisdom of Optimal Prenatal Nutrition,Lily Nichols,4.51,2439,2018
986,"Titan: The Life of John D. Rockefeller, Sr.",Ron Chernow,4.16,29705,1998
987,Send Down the Rain,Charles Martin,4.24,16358,2018
988,Big Nate: The Gerbil Ate My Homework,Lincoln Peirce,4.57,2424,2020
989,"Living Dead in Dallas (Sookie Stackhouse, #2)",Charlaine Harris,3.96,248538,2002
990,"Foundation and Empire (Foundation, #2)",Isaac Asimov,4.22,195021,1952
991,Master Slave Husband Wife: An Epic Journey from Slavery to Freedom,Ilyon Woo,4.08,3332,2023
992,Turkey and the Wolf: Flavor Trippin&#39; in New Orleans [A Cookbook],Mason Hereford,3.97,206,2022
993,The Turn of the Key,Ruth Ware,3.93,252006,2019
994,Empire of Pain: The Secret History of the Sackler Dynasty,Patrick Radden Keefe,4.54,85639,2021
995,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.02,1478919,1995
996,"Captive (Captive, #1)",Sarah Rivens,4.36,11984,2022
997,怪獣8号 1 [Kaijū 8-gō 1],Naoya Matsumoto,4.32,8149,2020
998,Fog of War (The Last Hunter #8),J.N. Chaney,4.42,649,2023
999,"Instacrush (Rookie Rebels, #2)",Kate Meader,3.96,2988,2019
1000,Her Hidden Genius,Marie Benedict,3.93,10840,2022
1001,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.65,442413,2010
1002,In the Likely Event,Rebecca Yarros,4.37,10668,2023
1003,"The Ruthless Fae King (Kings of Avalier, #3)",Leia Stone,4.25,3347,2023
1004,"23 Hours to Midnight (Women’s Murder Club, #23)",James Patterson,4.43,16935,2023
1005,Manual para damas afortunadas,Sophie Irwin,3.88,1348,2023
1006,Everybody&#39;s Favorite: Tales from the World&#39;s Worst Perfectionist,Lillian Stone,4.14,152,2023
1007,Starship Troopers,Robert A. Heinlein,4.01,220865,1959
1008,The Gnostic Gospels,Elaine Pagels,3.94,17618,1979
1009,Live Wire: Long-Winded Short Stories,Kelly Ripa,3.78,12677,2022
1010,In Five Years,Rebecca Serle,3.8,417991,2020
1011,The Devil&#39;s Playground,Craig Russell,4.07,328,2023
1012,White Nights,Fyodor Dostoevsky,4.02,107535,1848
1013,Momofuku: A Cookbook,David Chang,3.9,13170,2009
1014,"Crush (Crave, #2)",Tracy Wolff,4.29,86124,2020
1015,What She Missed,Liara Tamani,3.89,57,2023
1016,Mine to Take (Southern Weddings #5),Natasha Madison,4.19,2191,2023
1017,Encuentra tu persona vitamina,Marian Rojas Estapé,4.08,4064,2021
1018,"I&#39;m No Philosopher, But I Got Thoughts: Mini-Meditations for Saints, Sinners, and the Rest of Us",Kristin Chenoweth,3.52,1946,2023
1019,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.3,2754070,2005
1020,"The Way the World Ends (Warmer, #1)",Jess Walter,3.57,3061,2018
1021,Emergent Properties,Aimee Ogden,3.64,139,2023
1022,"Things I Should Have Said: Family, Fame, and Figuring it Out",Jamie Lynn Spears,2.47,4249,2022
1023,Managing Expectations: A Memoir in Essays,Minnie Driver,4.11,4819,2022
1024,Diary of an Awesome Friendly Kid: Rowley Jefferson&#39;s Journal,Jeff Kinney,3.98,44094,2019
1025,The Deja Glitch,Holly   James,3.8,695,2023
1026,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,4.23,482225,1997
1027,Still Life,Sarah Winman,4.17,53755,2021
1028,El mapa de los anhelos,Alice Kellen,4.29,23223,2022
1029,Thirteen Reasons Why,Jay Asher,3.85,937874,2007
1030,West with Giraffes,Lynda Rutledge,4.4,96839,2021
1031,Perfectly Ordinary People,Nick Alexander,4.5,5854,2022
1032,Local Woman Missing,Mary Kubica,4.15,298611,2021
1033,"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",Jenny Han,4.05,827015,2014
1034,"The Piece that Breaks (Offstage, #2)",N.J.  Gray,4.27,37,2023
1035,All That Remains: A Life in Death,Sue Black,4.17,10038,2018
1036,On Liberty,John Stuart Mill,3.97,36591,1859
1037,"The Long Way to a Small, Angry Planet (Wayfarers, #1)",Becky  Chambers,4.18,132057,2014
1038,"Immortality: A Love Story (The Anatomy Duology, #2)",Dana Schwartz,3.99,9611,2023
1039,A Gentleman in Moscow,Amor Towles,4.33,496180,2016
1040,Devoted,Dean Koontz,4.11,42731,2020
1041,November 9,Colleen Hoover,4.18,900133,2015
1042,スキップとローファー 5 [Skip to Loafer 5],Misaki Takamatsu,4.64,1030,2021
1043,"The Missing Sister (The Seven Sisters, #7)",Lucinda Riley,4.19,46555,2021
1044,"The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary",Simon Winchester,3.84,114575,1998
1045,The Wishing Game,Meg Shaffer,4.29,21752,2023
1046,Pillow Thoughts (Pillow Thoughts #1),Courtney Peppernell,3.82,39515,2017
1047,Anna Karenina,Leo Tolstoy,4.08,811377,1878
1048,Ducks: Two Years in the Oil Sands,Kate Beaton,4.45,18128,2022
1049,Waypoints: My Scottish Journey,Sam Heughan,4.31,6111,2022
1050,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,4.36,956368,2007
1051,"Dune (Dune, #1)",Frank Herbert,4.26,1236971,1965
1052,Beware the Woman,Megan Abbott,3.38,4631,2023
1053,"Fruits Basket, Vol. 14",Natsuki Takaya,4.47,16161,2004
1054,"Prince Caspian (Chronicles of Narnia, #2)",C.S. Lewis,3.98,419265,1951
1055,The Cheat Sheet,Sarah       Adams,3.74,175249,2021
1056,The Three Deaths of Willa Stannard,Kate Robards,3.68,361,2023
1057,Night Angels,Weina Dai Randel,4.25,12784,2023
1058,Old Boys,Nick Spalding,4.29,589,2023
1059,Murder at the Front,Lynn Morrison,4.3,56,2023
1060,"Unraveling Him (Bailey Brothers, #3)",Claire Kingsley,4.45,13507,2020
1061,The Iliad,Homer,3.9,430804,-700
1062,Free: A Child and a Country at the End of History,Lea Ypi,4.27,8272,2021
1063,"Memories, Dreams, Reflections",C.G. Jung,4.15,33141,1961
1064,Regretting You,Colleen Hoover,4.16,490348,2019
1065,Wild: Tales from Early Medieval Britain,Amy Jeffs,3.94,494,2022
1066,"Heartstopper: Volume Two (Heartstopper, #2)",Alice Oseman,4.57,419921,2019
1067,The Wedding Game,Meghan Quinn,3.93,26446,2021
1068,"Fruits Basket, Vol. 6",Natsuki Takaya,4.46,18704,2000
1069,The Arcane Academy (The Undying Magician #1),Shane Purdy,4.09,1638,2022
1070,"My Father&#39;s House (Rome Escape Line Trilogy, #1)",Joseph O\'Connor,4.12,2922,2023
1071,Asian Green: Everyday plant based recipes inspired by the East,Ching-He Huang,3.94,67,2021
1072,"Dirtbag, Massachusetts: A Confessional",Isaac Fitzgerald,3.6,5380,2022
1073,Take What You Need,Idra Novey,3.64,1697,2023
1074,Attached: The New Science of Adult Attachment and How It Can Help You Find—and Keep—Love,Amir Levine,4.15,70751,2010
1075,Getting to Yes: Negotiating Agreement Without Giving In,Roger Fisher,3.95,74364,1981
1076,We Could Be So Good,Cat Sebastian,4.42,2534,2023
1077,"進撃の巨人 7 [Shingeki no Kyojin 7] (Attack on Titan, #7)",Hajime Isayama,4.52,18236,2012
1078,Happy-Go-Lucky,David Sedaris,4.2,32835,2022
1079,Berlin,Bea Setton,3.71,1085,2022
1080,Be Here Now,Ram Dass,4.32,35591,1971
1081,ゆびさきと恋々 7 [Yubisaki to Renren 7],Suu Morishita,4.44,554,2022
1082,"The Deal (Off-Campus, #1)",Elle Kennedy,4.25,588086,2015
1083,Brain Food: The Surprising Science of Eating for Cognitive Power,Lisa Mosconi,3.92,1854,2018
1084,Nothing Fancy: Unfussy Food for Having People Over,Alison Roman,4.14,2919,2019
1085,Not Until This Day (Hope Springs #6),Valerie M. Bodden,4.74,882,2020
1086,The Kite Runner,Khaled Hosseini,4.34,2999730,2003
1087,Dessert Person: Recipes and Guidance for Baking with Confidence: A Baking Book,Claire Saffitz,3.87,5953,2020
1088,ブルーロック 1 [Blue Lock 1],Muneyuki Kaneshiro,4.29,6321,2018
1089,"Forbidden (Ward Sisters, #4)",Karla Sorensen,4.2,13202,2021
1090,"My Happy Marriage, Vol. 1 (My Happy Marriage Light Novel, #1)",Akumi Agitogi,4.22,1714,2019
1091,"Blood Promise (Vampire Academy, #4)",Richelle Mead,4.31,306197,2009
1092,"Mark of the Fool (Mark of the Fool, #1)",J.M. Clarke,4.38,3261,2021
1093,"Dare You to Kiss the Quarterback (Rock Valley High, #1)",Lacy Andersen,3.91,1620,2019
1094,"Wined and Died in New Orleans (Vintage Cookbook Mystery, #2)",Ellen Byron,4.22,625,2023
1095,"Look for Me There: Grieving My Father, Finding Myself",Luke Russert,4.0,1947,2023
1096,The Four Agreements,Miguel Ruiz,4.18,349427,1997
1097,Batman: Arkham Asylum - A Serious House on Serious Earth,Grant Morrison,4.1,69513,1989
1098,Rose/House,Arkady Martine,3.89,860,2023
1099,Keep Going: 10 Ways to Stay Creative in Good Times and Bad,Austin Kleon,4.28,12822,2019
1100,The Baller,Vi Keeland,4.01,47358,2016
1101,The Horoscope Writer,Ash Bishop,3.88,99,2023
1102,Groundwork of the Metaphysics of Morals,Immanuel Kant,3.83,19575,1785
1103,Inside Out,Demi Moore,3.9,39531,2019
1104,"Hey, Kiddo: How I Lost My Mother, Found My Father, and Dealt with Family Addiction",Jarrett J. Krosoczka,4.14,31927,2018
1105,"Asher (Ashes &amp; Embers, #6)",Carian Cole,4.39,6473,2020
1106,Brooms,Jasmine Walls,4.33,51,2023
1107,The Whittiers,Danielle Steel,4.2,11408,2022
1108,My Happy Marriage 04,Akumi Agitogi,4.37,206,2022
1109,Prima regola: non innamorarsi,Felicia Kingsley,4.29,6833,2020
1110,The Demon Sword Asperides,Sarah Jean Horwitz,4.05,40,2023
1111,"나 혼자만 레벨업 1 (Solo Leveling, Manhwa #1)",Chugong,4.49,17817,2019
1112,"Perełka. Część 2 (Rodzina Monet, #3B)",Weronika Anna Marczak,4.42,5552,2023
1113,The Coffee Bean: A Simple Lesson to Create Positive Change,Jon Gordon,4.06,3242,2019
1114,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,3.83,871419,2011
1115,"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins,3.98,443333,2010
1116,Remarkably Ruby,Terri Libenson,4.22,1388,2022
1117,Where the Crawdads Sing,Delia Owens,4.4,2646661,2018
1118,From Crook to Cook: Platinum Recipes from Tha Boss Dogg&#39;s Kitchen,Chronicle Books,4.21,2171,2018
1119,The Screaming Child,Scott Adlerberg,3.67,24,2023
1120,Between the World and Me,Ta-Nehisi Coates,4.4,319074,2015
1121,"A Dirty Job (Grim Reaper, #1)",Christopher Moore,4.03,116989,2006
1122,The Meaning of Marriage: Facing the Complexities of Commitment with the Wisdom of God,Timothy J. Keller,4.47,34820,2011
1123,Consumed,Greg  Buchanan,4.24,33,2023
1124,"Less Is Lost (Arthur Less, #2)",Andrew Sean Greer,3.74,13309,2022
1125,Part of Your World: A Twisted Tale Graphic Novel,Stephanie Kate Strohm,3.86,371,2023
1126,The Light on Farallon Island,Jen Wheeler,3.9,5927,2023
1127,Our Vengeful Souls,Kristi McManus,3.88,133,2023
1128,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,3.84,826379,2012
1129,"Bad Liar (Broussard and Fourcade, #3)",Tami Hoag,4.33,12,2023
1130,"The Perfect Play (Play by Play, #1)",Jaci Burton,3.89,39369,2011
1131,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.86,1497239,1818
1132,Detaljerna,Ia Genberg,3.96,5551,2022
1133,"Death Note, Vol. 5: Whiteout (Death Note, #5)",Tsugumi Ohba,4.32,28025,2005
1134,The Wife Between Us,Greer Hendricks,3.85,359547,2018
1135,Killers of a Certain Age,Deanna Raybourn,3.88,65825,2022
1136,Grit: The Power of Passion and Perseverance,Angela Duckworth,4.08,113896,2016
1137,Diary of a Tuscan Bookshop: A Memoir,Alba Donati,3.56,1481,2022
1138,"You (You, #1)",Caroline Kepnes,3.95,229216,2014
1139,"Night  (The Night Trilogy, #1)",Elie Wiesel,4.37,1186838,1956
1140,Helgoland: Making Sense of the Quantum Revolution,Carlo Rovelli,4.1,6444,2020
1141,You Can Trust Me,Kiersten Modglin,4.09,2232,2023
1142,The Book Eaters,Sunyi Dean,3.66,26869,2022
1143,Darkhearts,James L. Sutter,3.79,638,2023
1144,Becoming,Michelle Obama,4.47,970897,2018
1145,Fifth Avenue Glamour Girl,Renée Rosen,4.09,2883,2023
1146,Flowers on the Moon,Billy Chapata,4.16,2432,2020
1147,Claudia and the New Girl,Gabriela  Epstein,4.19,5597,2021
1148,Nazi Billionaires: The Dark History of Germany&#39;s Wealthiest Dynasties,David de Jong,4.21,1625,2022
1149,Cujo,Stephen King,3.77,271584,1981
1150,Bookshop by the Sea,Denise Hunter,3.82,7879,2021
1151,Trilogía Fuego 2. Ciudades de cenizas,Joana Marcús,4.36,17335,2021
1152,A Place for Us: A Memoir,Brandon J. Wolf,4.35,1030,2023
1153,The Blind Side,Michael   Lewis,4.17,94048,2006
1154,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,4.6,571959,2016
1155,Murakami T: The T-Shirts I Love,Haruki Murakami,3.59,2316,2020
1156,The Song of Achilles,Madeline Miller,4.35,1266359,2011
1157,Roma soy yo: La verdadera historia de Julio César,Santiago Posteguillo,4.55,5025,2022
1158,Lost on Planet China: The Strange and True Story of One Man's Attempt to Understand the World's Most Mystifying Nation or How He Became Comfortable Eating Live Squid,J. Maarten Troost,3.77,11667,2008
1159,The Hidden Hindu,Akshat Gupta,3.97,1162,2020
1160,"彼女が公爵邸に行った理由 4 (Why Raeliana Ended Up at the Duke&#39;s Mansion, Vol. 4)",Whale,4.41,1618,2020
1161,1964: Eyes of the Storm,Paul McCartney,4.53,199,2023
1162,Something Unexpected,Vi Keeland,4.32,2151,2023
1163,A Confederacy of Dunces,John Kennedy Toole,3.89,266910,1980
1164,The Time Machine,H.G. Wells,3.9,498949,1895
1165,"Sheets (Sheets, #1)",Brenna Thummler,3.85,37081,2018
1166,Blind Bake (Maddie Baker Mystery #1),Denise Grover Swank,4.5,1559,2022
1167,Through the Groves: A Memoir,Anne Hull,3.9,175,2023
1168,In the Heart of the Sea: The Tragedy of the Whaleship Essex,Nathaniel Philbrick,4.15,104483,2000
1169,Always Isn&#39;t Forever,J.C. Cervantes,4.05,568,2023
1170,Between Us,Mhairi McFarlane,3.92,4334,2023
1171,Cat Lady,Dawn O\'Porter,3.94,6357,2022
1172,"Let&#39;s Play, Vol. 3",Leeanne M. Krecic,4.28,705,2023
1173,Dirt Creek,Hayley Scrivenor,3.87,10512,2022
1174,"Fables, Vol. 1: Legends in Exile (Fables, #1)",Bill Willingham,3.98,138784,2002
1175,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.52,908418,2007
1176,"The Ex Hex (The Ex Hex, #1)",Erin Sterling,3.52,145968,2021
1177,The Island Villa,Sarah Morgan,3.97,1551,2023
1178,"SPY×FAMILY 2 (SPY×FAMILY, #2)",Tatsuya Endo,4.57,37320,2019
1179,These Silent Woods,Kimi Cunningham Grant,4.11,49200,2021
1180,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,4.45,310563,1971
1181,Dawn of the Void Book One,Phil Tucker,4.43,1666,2023
1182,The Endless Vessel,Charles Soule,3.91,875,2023
1183,The Murders at Fleat House,Lucinda Riley,4.14,22423,2022
1184,The Republic,Plato,3.96,196885,-375
1185,The Infinite Game,Simon Sinek,4.17,21177,2019
1186,Thrown,Sara Cox,3.82,8243,2022
1187,The Cost of Living: A Working Autobiography,Deborah Levy,4.18,13680,2018
1188,Thicker Than Water,Megan  Collins,3.62,1068,2023
1189,"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,3.69,727644,2000
1190,Poison for Breakfast,Lemony Snicket,3.87,12956,2021
1191,"Throne (Royal Trilogy, #3)",Sylwia Zandler,4.03,3514,2022
1192,Bear With Me Now,Katie   Shepard,3.11,884,2023
1193,The Dead Romantics,Ashley Poston,3.98,99008,2022
1194,Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,4.14,293766,2000
1195,Blue Hawaiian (Blackwood Cellars #1),Carla Luna,3.63,1964,2021
1196,Becoming Kin: An Indigenous Call to Unforgetting the Past and Reimagining Our Future,Patty Krawec,4.66,467,2022
1197,A Thousand Splendid Suns,Khaled Hosseini,4.42,1454151,2007
1198,Cash,Johnny Cash,4.01,23575,1997
1199,"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,4.38,316029,1996
1200,Green Eggs and Ham,Dr. Seuss,4.3,742885,1960
1201,とんがり帽子のアトリエ 10 [Tongari Bōshi no Atelier 10],Kamome Shirahama,4.49,2397,2022
1202,One More Croissant for the Road,Felicity Cloake,3.89,2320,2019
1203,"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes,4.2,514372,2020
1204,Holy Cow: An Indian Adventure,Sarah Macdonald,3.53,17560,2002
1205,チェンソーマン 2 [Chainsaw Man 2],Tatsuki Fujimoto,4.3,25215,2019
1206,"It Had to Be You (Chicago Stars, #1)",Susan Elizabeth Phillips,4.01,66494,1994
1207,Swamp Story,Dave Barry,3.95,3354,2023
1208,Heart Cold as Gold (Fae of the Sun and Moon #2),Jewel Jeffers,4.41,63,2023
1209,The Clearing,Simon Toyne,4.04,174,2023
1210,"Ghost (Track, #1)",Jason Reynolds,4.21,42442,2016
1211,Demon Slayer T23,Koyoharu Gotouge,4.69,9673,2020
1212,"Focused (Ward Sisters, #1)",Karla Sorensen,4.01,18423,2020
1213,The Rise and Fall of the Dinosaurs: A New History of a Lost World,Stephen Brusatte,4.19,28486,2018
1214,Cult Classic (Eric Carter #9),Stephen Blackmoore,4.69,198,2023
1215,Everything Happens for a Reason: And Other Lies I&#39;ve Loved,Kate Bowler,3.8,45308,2018
1216,Humankind: A Hopeful History,Rutger Bregman,4.33,52774,2019
1217,A Rover&#39;s Story,Jasmine Warga,4.33,3046,2022
1218,The King of the Spoil,Jonathan D. Beer,4.06,36,2023
1219,Eight Bears: Mythic Past and Imperiled Future,Gloria Dickie,4.43,167,2023
1220,Rich Waters (Jason Rich #2),Robert  Bailey,4.52,2649,2023
1221,Think Like a Monk: Train Your Mind for Peace and Purpose Every Day,Jay Shetty,4.22,55503,2020
1222,"Everyone in My Family Has Killed Someone (Ernest Cunningham, #1)",Benjamin   Stevenson,3.83,44208,2022
1223,Duet Me Not,Lilian Li,4.35,78,2023
1224,Karen&#39;s Haircut: A Graphic Novel (Baby-Sitters Little Sister #7) (Baby-Sitters Little Sister Graphix),Ann M. Martin,4.12,255,2023
1225,Turtles All the Way Down,John Green,3.9,529666,2017
1226,"Transmission (The Invasion Chronicles, #1)",Morgan Rice,3.64,2742,2018
1227,The Last Lifeboat,Hazel Gaynor,4.42,1326,2023
1228,The Things They Carried,Tim O\'Brien,4.14,299877,1990
1229,Malgré tout,Jordi Lafebre,4.39,5709,2020
1230,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,3.78,224597,1974
1231,"Raphael (An Incubus&#39; Mate, #1)",Toby Wise,4.28,115,2023
1232,Ikigai: The Japanese Secret to a Long and Happy Life / The Little Book of Lykke / Lagom: The Swedish Art of Balanced Living,Hector Garcia Puigcerver,3.87,39413,2018
1233,The All-American,Susie Finkbeiner,4.48,252,2023
1234,Is It Hot in Here? Or Am I Suffering for All Eternity for the Sins I Committed on Earth?,Zach  Zimmerman,3.67,1003,2023
1235,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,4.29,48198,1979
1236,Moorewood Family Rules,HelenKay Dimon,3.35,1805,2023
1237,How to Cook Everything: Simple Recipes for Great Food,Mark Bittman,3.99,97531,1998
1238,The Forsaken Planet,Bryan   Wilson,4.22,23,2023
1239,"Happy: A Song of Joy and Thanks for Little Ones, based on Psalm 92.",Sally Lloyd-Jones,4.46,13,2023
1240,The Glow,Jessie Gaynor,3.47,539,2023
1241,The Tommyknockers,Stephen King,3.59,146804,1987
1242,"Mark of the Fool 2 (Mark of the Fool, #2)",J.M. Clarke,4.48,2492,2023
1243,"Hawkeye, Volume 1: My Life as a Weapon",Matt Fraction,4.15,51615,2013
1244,Don&#39;t Let Her Stay,Nicola Sanders,4.05,36897,2023
1245,Gentle Is the Angel of Death (Nameless: Season Two #2),Dean Koontz,4.21,8811,2021
1246,"Alex (Cold Fury Hockey, #1)",Sawyer Bennett,3.96,26862,2014
1247,Letters from a Stoic,Seneca,4.35,36083,65
1248,"The Score (Off-Campus, #3)",Elle Kennedy,4.18,268112,2016
1249,Born a Crime: Stories From a South African Childhood,Trevor Noah,4.49,638282,2016
1250,The Traitor Beside Her,Mary Anna Evans,3.8,207,2023
1251,Song of My Softening,Omotara James,4.0,7,2023
1252,"The Sleep Experiment (World&#39;s Scariest Legends, #2)",Jeremy Bates,3.66,4871,2019
1253,Misfortune Cookie (Noodle Shop Mystery #9),Vivien Chien,4.06,396,2023
1254,"Never Admire an Adventurer (Fortune&#39;s Brides: Guarding Her Heart, #2)",Regina Scott,4.21,34,2023
1255,Chip War: The Fight for the World&#39;s Most Critical Technology,Chris   Miller,4.48,10135,2022
1256,"Falling Bodies (The Far Reaches, #3)",Rebecca Roanhorse,3.73,1581,2023
1257,The Catcher in the Rye,J.D. Salinger,3.8,3364076,1951
1258,"The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution: A Cookbook",Alice Waters,3.92,25207,2007
1259,The Martyr&#39;s Tomb (Dawn of Fire #6),Marc  Collins,3.81,63,2023
1260,The Third Baseman (The New York Lions #1),Lulu Moore,3.99,2978,2023
1261,Wholehearted Faith,Rachel Held Evans,4.44,5529,2021
1262,Lives of the Stoics: The Art of Living from Zeno to Marcus Aurelius,Ryan Holiday,4.03,4867,2020
1263,Clapton: The Autobiography,Eric Clapton,3.82,27088,2007
1264,Panza de burro,Andrea Abreu López,3.84,13233,2020
1265,"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,4.13,327716,1901
1266,"Only Good Enemies (Galactic Bonds, #2)",Jennifer Estep,4.29,869,2023
1267,"Girl, Forgotten (Andrea Oliver, #2)",Karin Slaughter,4.04,68081,2022
1268,"The Book of Cocktail Ratios: The Surprising Simplicity of Classic Cocktails (Ruhlman&#39;s Ratios, #2)",Michael Ruhlman,4.51,39,2023
1269,The Personal MBA: Master the Art of Business,Josh Kaufman,4.11,39441,2010
1270,The Westing Game,Ellen Raskin,4.01,203769,1978
1271,The Sun Will Rise and So Will We,Jennae Cecelia,3.67,2839,2020
1272,Sharp Objects,Gillian Flynn,4.01,958347,2006
1273,"Holes (Holes, #1)",Louis Sachar,3.99,1152017,1998
1274,"Kenna&#39;s Dragon (Monster Relations Bureau, #2)",Leigh  Miller,4.13,172,2023
1275,With a Kiss We Die,L.R. Dorn,3.82,217,2023
1276,"It&#39;s Not Hansel and Gretel (It’s Not a Fairy Tale, 2)",Josh Funk,4.09,1513,2019
1277,Detonation Boulevard,Alastair Reynolds,3.89,193,2023
1278,Homer and His Iliad,Robin Lane Fox,4.4,5,2023
1279,The Lonely City: Adventures in the Art of Being Alone,Olivia Laing,3.92,25954,2016
1280,"The Game Plan (Game On, #3)",Kristen Callihan,4.08,31006,2015
1281,呪術廻戦 22 [Jujutsu Kaisen 22],Gege Akutami,4.4,1290,2023
1282,The Ugly History of Beautiful Things: Essays on Desire and Consumption,Katy Kelleher,3.67,330,2023
1283,Girls to the Front: The True Story of the Riot Grrrl Revolution,Sara Marcus,3.97,7726,2010
1284,"Charlie, Love and Clichés",Ella Maise,3.7,5851,2023
1285,No Matter the Wreckage: Poems,Sarah Kay,4.21,14448,2014
1286,Many Things Under a Rock: The Mysteries of Octopuses,David Scheel,3.85,117,2023
1287,Y/N,Esther Yi,3.13,2044,2023
1288,More Happy Than Not,Adam Silvera,3.97,60718,2015
1289,All the Skills 2 (All the Skills #2),Honour Rae,4.64,2387,2023
1290,The Poorcraft Cookbook,Nero Villagallos O\'Reilly,4.03,68,2022
1291,Windy with a Chance of Wolfsbane,Mandy M. Roth,4.69,178,2023
1292,"The Girl in Cabin 13 (Emma Griffin FBI Mystery, #1)",A.J. Rivers,3.98,31573,2019
1293,"Women We Buried, Women We Burned: A Memoir",Rachel Louise Snyder,4.09,1126,2023
1294,Wes &amp; Liz’s College Road Trip,Lynn Painter,4.5,3564,2022
1295,キングダム 69 [Kingdom 69],Yasuhisa Hara,4.57,7,2023
1296,The Queens of New York,E. L. Shen,4.17,262,2023
1297,Please Love Me at My Worst,Michaela Angemeer,3.91,5365,2021
1298,The True Love Experiment,Christina Lauren,4.24,49573,2023
1299,"Bad Friends 2 (Friends, #2)",Aleksandra Negrońska,4.18,2570,2022
1300,Romantic Comedy,Curtis Sittenfeld,3.73,85406,2023
1301,Elinor Wonders Why: How to Carry a Cupcake,Jorge Cham,4.0,16,2023
1302,とんがり帽子のアトリエ 7 [Tongari Bōshi no Atelier 7],Kamome Shirahama,4.52,4766,2020
1303,"Dirk Gently's Holistic Detective Agency (Dirk Gently, #1)",Douglas Adams,3.97,137460,1987
1304,"Long Shot (Hoops, #1)",Kennedy Ryan,4.2,37798,2018
1305,"Mister Bodyguard (Morgan Brothers, #4)",Lauren Rowe,4.26,3105,2018
1306,Scarred,Sarah  Edmondson,3.94,3024,2019
1307,The Rise of Theodore Roosevelt,Edmund Morris,4.22,53757,1979
1308,"Power Play (The Calway Family, #1)",T.D. Colbert,4.09,129,2023
1309,The Inflammation Spectrum: Find Your Food Triggers and Reset Your System,Will Cole,3.66,1700,2019
1310,Confessions,Augustine of Hippo,3.95,60639,378
1311,Pale Blue Dot: A Vision of the Human Future in Space,Carl Sagan,4.33,35340,1994
1312,This Town is on Fire,Pamela N. Harris,4.16,74,2023
1313,"In the Woods (Dublin Murder Squad, #1)",Tana French,3.79,383728,2007
1314,"Game Changer (Vancouver Orcas, #2)",Amy Aislin,4.29,235,2023
1315,"An Illustrated Life: Drawing Inspiration from the Private Sketchbooks of Artists, Illustrators and Designers",Danny Gregory,3.71,25133,2008
1316,"The Archive Undying (The Downworld Sequence, #1)",Emma Mieko Candon,3.42,338,2023
1317,Stepping Up,Sarah   Turner,4.39,5324,2022
1318,Wild at Heart: Discovering the Secret of a Man's Soul,John Eldredge,3.93,78975,2001
1319,ゆびさきと恋々 9 [Yubisaki to Renren 9],Suu Morishita,4.56,78,2023
1320,"薬屋のひとりごと 7 [Kusuriya no Hitorigoto 7] (The Apothecary Diaries [Nekokurage], #7)",Nekokurage,4.49,1894,2020
1321,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk,4.43,143432,2014
1322,Carrie Soto Is Back,Taylor Jenkins Reid,4.23,364958,2022
1323,Just the Nicest Couple,Mary Kubica,3.56,65535,2023
1324,"Leah on the Offbeat (Simonverse, #3)",Becky Albertalli,3.8,73216,2018
1325,"Meeting Her Match (Milwaukee Wolfpack, #2)",Liz Lincoln,3.88,8,2023
1326,"One Dark Window (The Shepherd King, #1)",Rachel Gillig,4.33,20691,2022
1327,The Husband Game (Relationship Goals #1),Brigham Vaughn,4.3,620,2023
