Rank,Title,Num_episodes,Aired_through,Num_members,page_url,image_url,Score
1,Fullmetal Alchemist: Brotherhood,TV (64 eps),Apr 2009 - Jul 2010,"3,178,742 members",https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,https://cdn.myanimelist.net/r/100x140/images/anime/1208/94745.jpg?s=5ec18639199f2c60b60009f34222228d,9.10
2,Bleach: Sennen Kessen-hen,TV (13 eps),Oct 2022 - Dec 2022,"446,617 members",https://myanimelist.net/anime/41467/Bleach__Sennen_Kessen-hen,https://cdn.myanimelist.net/r/100x140/images/anime/1956/126621.jpg?s=9d14f7b35e8be4500d2e052b9144f232,9.07
3,Steins;Gate,TV (24 eps),Apr 2011 - Sep 2011,"2,442,203 members",https://myanimelist.net/anime/9253/Steins_Gate,https://cdn.myanimelist.net/r/100x140/images/anime/1935/127974.jpg?s=a0c19821033ace3af10310a253a9e85b,9.07
4,Gintama°,TV (51 eps),Apr 2015 - Mar 2016,"596,281 members",https://myanimelist.net/anime/28977/Gintama°,https://cdn.myanimelist.net/r/100x140/images/anime/3/72078.jpg?s=bb26d45bb75e13601e1b8029f717c2b0,9.06
5,Kaguya-sama wa Kokurasetai: Ultra Romantic,TV (13 eps),Apr 2022 - Jun 2022,"822,345 members",https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,https://cdn.myanimelist.net/r/100x140/images/anime/1160/122627.jpg?s=e4e56950556c022515bea0f8936ce541,9.05
6,Shingeki no Kyojin Season 3 Part 2,TV (10 eps),Apr 2019 - Jul 2019,"2,106,077 members",https://myanimelist.net/anime/38524/Shingeki_no_Kyojin_Season_3_Part_2,https://cdn.myanimelist.net/r/100x140/images/anime/1517/100633.jpg?s=63aa0647fb4eba3fd80288489f0a64a4,9.05
7,Shingeki no Kyojin: The Final Season - Kanketsu-hen,Special (2 eps),Mar 2023 - 2023,"437,824 members",https://myanimelist.net/anime/51535/Shingeki_no_Kyojin__The_Final_Season_-_Kanketsu-hen,https://cdn.myanimelist.net/r/100x140/images/anime/1279/131078.jpg?s=1b0db37795fa4240d5b66641643f76bb,9.05
8,Gintama',TV (51 eps),Apr 2011 - Mar 2012,"526,153 members",https://myanimelist.net/anime/9969/Gintama,https://cdn.myanimelist.net/r/100x140/images/anime/4/50361.jpg?s=0fde0801daa3b436029146f401e5e77f,9.04
9,Gintama: The Final,Movie (1 eps),Jan 2021 - Jan 2021,"133,143 members",https://myanimelist.net/anime/39486/Gintama__The_Final,https://cdn.myanimelist.net/r/100x140/images/anime/1245/116760.jpg?s=8fc5f4b436ee45307a882948a5e768ac,9.04
10,Hunter x Hunter (2011),TV (148 eps),Oct 2011 - Sep 2014,"2,659,264 members",https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,https://cdn.myanimelist.net/r/100x140/images/anime/1337/99013.jpg?s=9eb9cdcf5b9da3538432d014fd0aaa31,9.04
