Id,Name,Identity,Alignment,Eyes,Hair,Sex,Alive,Appearances,First_appeared,Universe
5427,Leme Tel ,Secret,Good,Brown,White,Male,Yes,1,"1943, July",Marvel
5428,Slicer ,Secret,Bad,Brown,Black,Male,Yes,2,"1948, February",DC
5429,Andrea von Strucker ,Secret,Bad,Blue,Blond,Female,No,30,"1985, June",Marvel
5430,Bucka ,Public,Good,Brown,Brown,Male,Yes,1,"1944, May",Marvel
5431,Hemingway ,Secret,Bad,Brown,Bald,Male,No,15,"1995, July",Marvel
5432,Dredmund Cromwell ,Public,Bad,Brown,Black,Male,Yes,17,"1966, May",Marvel
5433,Ronald Evers ,Secret,Neutral,Brown,Black,Male,Yes,11,"1982, June",DC
5434,Mindmeld ,Secret,Neutral,White,Blond,Male,Yes,1,"1997, January",Marvel
5435,Percival Pill ,Public,Good,Black,Black,Male,Yes,1,"1995, May",DC
5436,Arimanes ,Non-dual,Bad,Red,No,Male,Yes,1,"1995, January",Marvel
5437,Marvin Krolnek ,Non-dual,Bad,Red,Bald,Male,Yes,1,"2002, August",Marvel
5438,Bambu ,Secret,Good,Blue,White,Male,No,7,"1973, October",Marvel
5439,Davis Lawfers ,Secret,Bad,Brown,Brown,Male,Yes,12,"1988, January",Marvel
5440,Rieg Davan ,Secret,Good,Brown,Brown,Male,No,24,"1976, October",Marvel
5441,Shirow Ishihara ,Secret,Bad,Black,Black,Male,Yes,3,"1999, May",Marvel
5442,Maki Matsumoto ,Secret,Bad,Brown,Black,Female,Yes,45,"2008, November",Marvel
5443,Tatsu Yamashiro ,Secret,Good,Brown,Black,Female,Yes,252,"1983, July",DC
5444,Daichi Sakamoto ,Secret,Good,Brown,Brown,Unknown,No,2,"1992, June",Marvel
5445,Shen Xorn ,Secret,Good,Black,Blond,Male,Yes,8,"2004, July",Marvel
5446,Samantha McGee ,Public,Bad,Blue,Brown,Female,Yes,6,"1999, October",Marvel
5447,Nyola ,Secret,Bad,Brown,Brown,Female,Yes,5,"1940, September",DC
5448,Shep Gunderson ,Secret,Bad,Blue,Brown,Male,Yes,5,"2009, August",Marvel
5449,Signor Korte ,Public,Bad,Brown,Black,Male,Yes,2,"1946, September",Marvel
5450,House Killer ,Secret,Bad,Brown,Black,Male,Yes,1,"1946, September",Marvel
5451,Tiamat ,Secret,Good,White,No,Male,Yes,6,"1998, October",Marvel
5452,Shane Thompson ,Public,Good,Brown,Brown,Male,Yes,3,"2010, December",DC
5453,Running Elk ,Public,Good,Yellow,Black,Male,Yes,1,"1941, March",Marvel
5454,Ocelot ,Secret,Neutral,Green,Brown,Male,Yes,2,"1993, March",Marvel
5455,Macro-Man ,Non-dual,Bad,Brown,Brown,Male,No,3,"1986, November",DC
5456,Claire Montgomery ,Public,Neutral,Green,Red,Female,Yes,9,"1990, April",DC
5457,Mackenzie Bock ,Public,Good,Brown,Blond,Male,Yes,65,"1995, January",DC
5458,David Breyer ,Public,Bad,Brown,Black,Male,Yes,6,"1996, January",Marvel
5459,Jeffrey Mace ,Secret,Good,Blue,Black,Male,No,139,"1940, December",Marvel
5460,Alestaire Grunch ,Secret,Bad,Brown,Brown,Male,Yes,5,"1999, March",Marvel
5461,Lashorr ,Public,Good,Blue,Red,Female,Yes,5,"2006, July",DC
5462,Gary DeVries ,Public,Good,Brown,Black,Male,Yes,8,"1989, February",DC
5463,Simon Stroud ,Non-dual,Neutral,Blue,Blond,Male,Yes,29,"1974, July",Marvel
5464,Java ,Public,Bad,Black,Black,Male,Yes,76,"1965, January",DC
5465,Kenneth Hale ,Secret,Good,Brown,Brown,Male,Yes,67,"1954, March",Marvel
5466,Numa ,Non-dual,Neutral,Black,Black,Male,Yes,1,"1953, July",Marvel
5467,Chester Phillips ,Public,Good,Brown,Grey,Male,No,34,"1965, March",Marvel
5468,King Ra ,Public,Good,Brown,White,Male,Yes,3,"1942, December",Marvel
5469,Timothy Simms ,Secret,Good,Blue,Black,Male,Yes,2,"1988, May",DC
5470,Arnold Astrovik ,Non-dual,Neutral,Hazel,Brown,Male,No,14,"1975, July",Marvel
5471,Claire Foster ,Public,Bad,Black,Black,Female,Yes,5,"2002, January",DC
5472,Devon Alomar ,Public,Bad,Blue,Blond,Male,Yes,5,"1999, February",Marvel
5473,Mister Wu ,Public,Good,Brown,Black,Male,Yes,2,"1946, September",Marvel
5474,Raak ,Public,Bad,Brown,Brown,Male,Yes,6,"1983, October",Marvel
5475,William Knightley ,Secret,Good,Black,Brown,Male,Yes,6,"2005, June",DC
5476,Astarte ,Secret,Bad,Blue,Blond,Female,Yes,3,"2010, May",DC
5477,Watchfire ,Secret,Bad,Blue,Black,Male,Yes,2,"1999, October",Marvel
5478,Boris Dmitravich Razumihin ,Public,Good,Brown,Black,Male,Yes,7,"1987, December",DC
5479,Solomon ,Public,Good,Brown,Black,Male,Yes,4,"1940, February",DC
5480,Ann Darnell ,Secret,Bad,Green,Brown,Female,Yes,53,"1980, December",Marvel
5481,Roger Gordon ,Public,Neutral,Blue,Brown,Male,No,4,"1987, November",DC
5482,Morrigon ,Secret,Bad,Brown,Bald,Unknown,Yes,2,"2013, May",Marvel
5483,Vron-Ikka ,Secret,Neutral,Green,Red,Female,Yes,1,"1989, November",Marvel
5484,Darlene Sims ,Secret,Good,Brown,Red,Female,No,1,"2008, November",Marvel
5485,Fazekas ,Public,Neutral,Black,Black,Male,Yes,1,"2008, December",Marvel
5486,Cell ,Secret,Bad,White,Bald,Male,No,5,"2002, June",Marvel
5487,Captain Harding ,Public,Good,Blue,Brown,Male,Yes,76,"1956, February",DC
5488,Angela ,Secret,Neutral,Blue,Blond,Female,No,4,"2011, February",Marvel
5489,Zzxz ,Non-dual,Bad,White,No,Genderless,Yes,6,"2009, March",Marvel
5490,Robert Harrison ,Public,Good,Red,Blond,Male,Yes,1,"1941, March",Marvel
5491,Neut ,Secret,Bad,Brown,Black,Male,Yes,6,"1995, October",Marvel
5492,Eros ,Secret,Good,Blue,Blond,Male,Yes,5,"1987, September",Marvel
5493,Frank Oliver ,Public,Bad,Brown,Blond,Male,No,13,"1970, February",Marvel
5494,Vincent Patilio ,Public,Neutral,Brown,Brown,Male,Yes,19,"1967, February",Marvel
5495,Larra ,Public,Bad,Green,Black,Female,No,2,"2007, September",DC
5496,Mark Nagoya ,Secret,Good,Brown,Black,Male,Yes,4,"1990, August",DC
5497,Yussuf Hussain ,Non-dual,Good,Brown,Black,Male,Yes,5,"2008, November",Marvel
5498,Megan Hoyden ,Secret,Neutral,Grey,Black,Female,No,2,"2007, June",Marvel
5499,Nezarr ,Secret,Neutral,No,No,Male,Yes,21,"1977, March",Marvel
5500,Thanos ,Non-dual,Bad,Red,No,Male,Yes,306,"1973, February",Marvel
5501,Manitou Raven ,Secret,Good,White,Black,Male,No,41,"2002, July",DC
5502,Fury ,Public,Good,Brown,White,Male,Yes,26,"1948, March",Marvel
5503,Manoli Wetherell ,Public,Good,Yellow,Blond,Female,Yes,13,"1988, February",Marvel
5504,Bret Adams ,Public,Bad,Brown,Brown,Male,Yes,1,"1967, February",Marvel
5505,Liberty Girl ,Secret,Good,Red,Blond,Female,No,3,"2000, November",Marvel
5506,Sidney Levine ,Public,Bad,Blue,White,Male,Yes,1,"1988, October",Marvel
5507,Red Skull ,Secret,Bad,Brown,Brown,Male,No,2,"1947, March",Marvel
5508,Sumo ,Secret,Bad,Brown,Black,Male,No,10,"1978, January",DC
5509,Terrence Thirteen ,Public,Good,Brown,Brown,Male,Yes,82,"1951, November",DC
5510,Sarah Gail Bradley ,Public,Good,Brown,Black,Female,Yes,5,"2003, February",Marvel
5511,Folkbern Logan ,Non-dual,Neutral,Brown,Black,Male,Yes,1,"2013, June",Marvel
5512,Al B. Harper ,Non-dual,Good,Brown,Black,Male,No,2,"1969, April",Marvel
5513,Phastos ,Secret,Good,Brown,Bald,Male,Yes,24,"1985, October",Marvel
5514,Witchbreaker ,Public,Good,Blue,Black,Female,Yes,3,"2007, December",Marvel
5515,Triploid Mutant ,Secret,Neutral,Brown,Bald,Male,No,1,"2008, September",Marvel
5516,Kurt Schnell ,Public,Bad,Blue,Black,Male,No,1,"1943, March",Marvel
5517,Daniel Ridge Jr. ,Public,Good,Brown,Black,Male,Yes,30,"1980, March",Marvel
5518,Darren Cross ,Non-dual,Bad,Black,Black,Male,No,2,"1979, April",Marvel
5519,Starky ,Public,Good,Red,Brown,Unknown,Yes,1,"1982, March",Marvel
5520,Pyron ,Secret,Bad,Green,No,Male,Yes,1,"1981, April",Marvel
5521,Andrew Jackson ,Public,Good,Brown,Blond,Male,No,16,"1990, November",Marvel
5522,Churljenkins ,Public,Good,Black,Green,Female,Yes,6,"1989, March",DC
5523,Drin ,Secret,Good,Blue,Black,Male,No,2,"1994, January",DC
5524,Victoria Donnely ,Secret,Good,Brown,Blond,Female,Yes,2,"2000, February",Marvel
5525,Ranald Jeffries ,Non-dual,Neutral,Pink,Purple,Male,Yes,12,"1994, April",Marvel
5526,Dan Carlisle ,Non-dual,Neutral,Blue,Brown,Male,Yes,1,"1954, April",Marvel
5527,Centauron ,Secret,Neutral,Brown,Black,Male,No,3,"1980, July",Marvel
