Id,Name,Identity,Alignment,Eyes,Hair,Sex,Alive,Appearances,First_appeared,Universe
0,Ikonn ,Secret,Neutral,Blue,No,Male,Yes,6,"1981, June",Marvel
1,Carol Ferris ,Public,Neutral,Blue,Black,Female,Yes,319,"1959, October",DC
2,Vincent Edge ,Public,Bad,Brown,White,Male,Yes,16,"1989, September",DC
3,Thomas Adkins ,Public,Bad,Brown,Black,Male,Yes,1,"2002, April",Marvel
4,Razorback ,Secret,Bad,Blue,Black,Male,No,1,"1988, February",DC
5,Carlton Velcro ,Secret,Bad,Brown,Black,Male,Yes,7,"1975, June",Marvel
6,Fern ,Secret,Good,Black,Black,Female,Yes,14,"1985, July",Marvel
7,Bannerman Brown ,Secret,Good,Black,Bald,Male,No,2,"2007, April",Marvel
8,Ormond Wychwood ,Secret,Bad,Blue,Blond,Male,Yes,37,"1992, June",Marvel
9,Evangeline Whedon ,Public,Good,Blue,Black,Female,Yes,18,"2003, April",Marvel
10,Lord of Limbo ,Unknown,Bad,Red,Brown,Male,Yes,2,"1980, April",DC
11,Miguel Santos ,Secret,Good,Brown,Black,Male,Yes,111,"1990, October",Marvel
12,Iuriale ,Secret,Bad,Blue,Red,Female,Yes,2,"1986, April",Marvel
13,Steven Kernahan ,Secret,Bad,Blue,Brown,Male,No,1,"1995, October",DC
14,Nightfist ,Secret,Bad,Black,Black,Male,No,3,"1996, September",DC
15,Agent Orange ,Secret,Bad,Red,Brown,Male,Yes,2,"1983, October",DC
16,Kordazt ,Secret,Bad,Blue,No,Male,No,1,"1978, September",Marvel
17,Shagreen ,Public,Bad,Red,No,Male,Yes,6,"1985, November",Marvel
18,Wes Cassady ,Secret,Good,Brown,Black,Male,Yes,1,"1988, July",Marvel
19,Beatriz da Costa ,Secret,Good,Green,Green,Female,Yes,325,"1982, June",DC
20,Lorne Quickfall ,Secret,Bad,White,Black,Male,No,4,"1992, October",Marvel
21,Roberta Rhodes ,Public,Good,Black,White,Female,Yes,6,"1983, August",Marvel
22,Sharkskin ,Secret,Neutral,Blue,Black,Male,Yes,3,"1989, October",Marvel
23,Ngh ,Public,Bad,Green,Brown,Male,Yes,5,"1990, December",Marvel
24,Aberdeen Angus ,Secret,Neutral,Brown,Brown,Male,Yes,3,"1993, February",Marvel
25,Kevin Krask ,Public,Bad,Red,Black,Male,Yes,4,"1994, December",Marvel
26,Llyra Morris ,Non-dual,Bad,Green,Green,Female,Yes,50,"1970, December",Marvel
27,Driver Reese ,Public,Neutral,Green,Black,Female,No,3,"2011, February",Marvel
28,Lowell Jeffries ,Public,Neutral,Black,Black,Male,Yes,2,"2006, October",DC
29,Isabel Glenn ,Public,Good,Blue,Red,Female,Yes,1,"2010, January",DC
30,Louis Dexter ,Secret,Bad,Brown,Brown,Male,Yes,5,"1994, March",Marvel
31,Screwball ,Secret,Neutral,Blue,Purple,Female,Yes,19,"2008, July",Marvel
32,Seeker ,Public,Neutral,Black,Black,Male,Yes,7,"2011, September",Marvel
33,Grace Choi ,Secret,Good,Brown,Red,Female,Yes,100,"2003, August",DC
34,Ziegler ,Public,Good,Black,Black,Male,Yes,1,"1963, December",Marvel
35,Lasco Vicenti ,Secret,Bad,Blue,Black,Male,Yes,1,"1945, October",Marvel
36,Jaunt ,Secret,Bad,Brown,No,Unknown,No,1,"2000, November",Marvel
37,Noble ,Non-dual,Bad,Orange,Grey,Male,Yes,11,"1998, December",DC
38,Morfex ,Secret,Good,Brown,Bald,Male,Yes,9,"1995, December",Marvel
39,Frank Yarrow ,Secret,Good,Green,Brown,Male,Yes,1,"1956, December",Marvel
40,Horoq Nnot ,Secret,Good,Green,Purple,Female,No,16,"2006, June",DC
41,Arlok ,Non-dual,Good,Green,Black,Male,No,4,"1981, July",Marvel
42,Dexter Parrish ,Public,Bad,Yellow,No,Male,Yes,1,"1998, June",Marvel
43,Gerri Brauer ,Secret,Good,Blue,Blond,Female,Yes,32,"1994, January",DC
44,Mrs. Borkowski ,Secret,Good,Blue,Blond,Female,Yes,2,"2004, January",Marvel
45,Laura Broadbahr ,Secret,Good,Blue,Pink,Female,Yes,4,"2002, November",Marvel
46,Carmen Leno ,Public,Bad,Brown,Black,Female,Yes,27,"1997, May",DC
47,Athena Tremor ,Secret,Good,Blue,Blond,Female,Yes,27,"1966, June",DC
48,Amanda Fallows ,Secret,Neutral,Blue,Black,Female,Yes,1,"1989, August",Marvel
49,Gloria Rider ,Public,Neutral,Blue,Bald,Female,Yes,30,"1976, September",Marvel
50,Ned Horrocks ,Secret,Bad,Blue,Blond,Male,No,2,"2006, August",Marvel
51,Doctor Aesop ,Public,Bad,Blue,Grey,Male,Yes,3,"2008, September",DC
52,Armand Krol ,Public,Bad,White,Brown,Male,No,31,"1992, August",DC
53,Nikolai Karpov ,Non-dual,Bad,Green,No,Male,Yes,1,"1997, March",DC
54,Miles Brickman ,Public,Neutral,Blue,Black,Male,Yes,4,"1978, October",Marvel
55,Kurrgo ,Secret,Bad,Yellow,Grey,Male,Yes,7,"1962, October",Marvel
56,Dolores Winters II ,Public,Bad,Brown,Brown,Female,Yes,3,"1998, February",DC
57,Jack Winters ,Secret,Bad,Brown,Brown,Male,No,14,"1967, December",Marvel
58,Jonathan Lord ,Secret,Good,Black,Black,Male,Yes,12,"1987, September",DC
59,Starr Ryder ,Public,Good,Grey,Auburn,Female,Yes,2,"1951, February",Marvel
60,Epititus ,Public,Bad,Brown,Brown,Male,No,1,"1989, November",Marvel
61,Tamara Rahn ,Secret,Good,Red,Blond,Female,Yes,34,"1973, February",Marvel
62,Pax ,Public,Good,Blue,Black,Male,Yes,4,"1993, September",DC
63,Kyle Spencer ,Public,Good,Green,Blond,Male,Yes,21,"1988, October",DC
64,Monster of Badoon ,Public,Bad,Brown,Blond,Unknown,No,7,"1968, October",Marvel
65,Sandai ,Secret,Bad,Blue,Black,Male,Yes,1,"1942, June",Marvel
66,Vakume ,Secret,Good,Brown,Black,Male,Yes,16,"1977, September",Marvel
67,Eel ,Secret,Neutral,Blue,Black,Male,Yes,3,"1989, October",Marvel
68,Alasdhair Kinross ,Non-dual,Neutral,Brown,Brown,Male,No,3,"1999, September",Marvel
69,Robert Arnold ,Non-dual,Good,Green,Blond,Male,No,2,"1985, October",Marvel
70,Aiko Miyazaki ,Secret,Good,Blue,Blond,Female,Yes,15,"1998, September",Marvel
71,Roxelana ,Public,Good,Blue,Red,Female,Yes,4,"1993, December",Marvel
72,Laurie Caban ,Secret,Neutral,Brown,Brown,Female,Yes,1,"2004, July",Marvel
73,Zotarr ,Non-dual,Neutral,Brown,Brown,Unknown,Yes,1,"1975, August",Marvel
74,Nia Noble ,Public,Bad,Blue,Blond,Female,Yes,6,"2004, November",Marvel
75,Ferdinand ,Public,Good,Blue,Black,Male,Yes,20,"2003, October",DC
76,Wendell Vaughn ,Secret,Good,Blue,Blond,Male,Yes,290,"1978, January",Marvel
77,Bixby Rhodes ,Public,Bad,Black,Black,Male,Yes,2,"2011, June",DC
78,Explosa ,Secret,Bad,Brown,Blond,Female,No,1,"2001, August",Marvel
79,Juanito Candido ,Public,Good,Brown,Brown,Male,Yes,4,"1996, February",Marvel
80,Susan Storm ,Public,Good,Blue,Blond,Female,Yes,1,"1973, June",Marvel
81,Ken Masters ,Non-dual,Good,Brown,Brown,Male,Yes,3,"1939, October",Marvel
82,Jayne Payton ,Public,Neutral,Green,Red,Female,Yes,51,"1988, October",DC
83,Anita Ehren ,Secret,Bad,Black,Red,Female,Yes,13,"1986, March",Marvel
84,Jane Smythe ,Secret,Bad,Blue,Blond,Female,Yes,1,"2002, February",Marvel
85,Derry Campbell ,Secret,Good,Blue,Blond,Female,No,1,"2006, February",Marvel
86,Mister Chambers ,Secret,Bad,Brown,Red,Male,Yes,17,"1978, January",Marvel
87,Devil Dinosaur ,Secret,Bad,Brown,Black,Male,Yes,1,"2007, March",Marvel
88,Scope ,Secret,Bad,Brown,Black,Male,Yes,1,"1990, May",Marvel
89,Divad ,Secret,Neutral,Blue,Red,Male,Yes,15,"1992, April",Marvel
90,Krakoa II ,Secret,Bad,Red,No,Unknown,Yes,1,"2008, December",Marvel
91,Silenus ,Public,Neutral,Black,Brown,Male,Yes,2,"2008, November",Marvel
92,Alpha Achromic ,Non-dual,Good,Brown,Black,Male,Yes,1,"2012, August",Marvel
93,Forget-Me-Not ,Secret,Bad,Purple,Purple,Female,Yes,4,"2007, August",Marvel
94,Rhosyn Forrest ,Secret,Good,Green,Brown,Female,Yes,44,"1986, March",DC
95,Delbert ,Secret,Bad,Brown,Bald,Male,Yes,3,"1992, November",Marvel
96,Jerry Halliwell ,Public,Good,Brown,Blond,Male,Yes,2,"2004, December",Marvel
97,Mister Gor ,Secret,Neutral,Blue,Red,Male,Yes,8,"2012, January",Marvel
98,Warren Rothschild ,Non-dual,Neutral,Blue,Grey,Male,No,1,"1997, December",Marvel
99,Stanley Macklin ,Secret,Bad,Brown,White,Male,Yes,2,"1996, September",DC
100,Chlorino ,Secret,Good,White,Black,Male,Yes,1,"1989, July",DC
101,P.D.Q. Werner ,Public,Bad,Blue,Black,Male,Yes,3,"1968, July",Marvel
102,Whitefire ,Secret,Bad,Blue,Black,Male,Yes,2,"1982, July",DC
103,Cassandra ,Secret,Bad,Blue,Black,Female,Yes,2,"1993, April",Marvel
104,Drax ,Secret,Good,Black,Red,Male,Yes,27,"1971, March",DC
105,Ystina ,Secret,Good,Green,Black,Female,Yes,13,"2005, May",DC
106,Joe Morita ,Public,Good,Blue,Grey,Male,Yes,3,"1968, March",Marvel
107,Duncan Kilgore ,Public,Good,Blue,Brown,Male,Yes,4,"2013, April",Marvel
108,Laroximous Boneflayer ,Secret,Neutral,Green,Black,Male,Yes,2,"2010, March",Marvel
109,Fisherman ,Secret,Bad,Blue,Black,Male,No,19,"1965, June",DC
110,Aron Nora ,Secret,Bad,Blue,Red,Male,No,3,"1994, May",Marvel
111,Morrigan ,Public,Good,Brown,Brown,Female,No,5,"1993, June",Marvel
112,Anne-Marie Brogan ,Secret,Good,Brown,Black,Female,Yes,12,"1992, September",DC
113,Dervish ,Public,Good,Black,Brown,Female,Yes,9,"1994, March",DC
114,Barbara DeGioia ,Secret,Good,Brown,Black,Female,Yes,4,"1995, January",Marvel
115,Wesley Thomas ,Public,Good,Brown,Brown,Male,Yes,11,"2000, September",DC
116,Mor the Mighty ,Secret,Bad,Blue,Black,Male,No,1,"1941, March",Marvel
117,Webwing ,Public,Neutral,Black,Bald,Unknown,Yes,3,"1982, May",Marvel
118,Melanie Killgrave ,Secret,Good,Black,Brown,Female,Yes,10,"1986, December",Marvel
119,Beautiful Dreamer ,Non-dual,Neutral,Blue,Bald,Unknown,Yes,5,"1999, September",Marvel
120,Bull ,Secret,Bad,White,Red,Male,Yes,1,"1981, February",Marvel
121,Lionel Luthor ,Public,Neutral,Green,Brown,Male,Yes,8,"2007, September",DC
122,Emma Frost ,Secret,Bad,Green,Blond,Female,No,6,"2008, June",Marvel
123,Anthea Dupres ,Non-dual,Good,Blue,Brown,Female,Yes,1,"1995, April",Marvel
124,Sun Wukong ,Secret,Good,Black,Bald,Male,Yes,6,"2011, July",Marvel
125,Majeston Zelia ,Secret,Bad,Yellow,Brown,Female,Yes,10,"1998, October",Marvel
126,Roger Denning ,Public,Neutral,Blue,Black,Male,Yes,19,"1965, September",DC
127,Manhunter Highmaster ,Secret,Bad,White,Brown,Male,No,14,"1975, August",DC
128,Jillian ,Secret,Bad,Yellow,Blue,Female,Yes,6,"2003, October",Marvel
129,Ghost ,Non-dual,Neutral,Red,Brown,Male,No,3,"1961, May",Marvel
130,Blue Talon ,Public,Bad,Green,Brown,Male,No,1,"1972, October",Marvel
131,Nathaniel Wayne ,Public,Bad,Brown,Black,Male,Yes,1,"2010, July",DC
132,Nancy Ridley ,Public,Good,Green,Brown,Female,No,3,"2007, January",Marvel
133,Gary Gilbert ,Secret,Bad,Brown,Brown,Male,No,26,"1970, July",Marvel
134,Ramsey Murdoch ,Secret,Bad,Blue,Red,Male,Yes,9,"1994, December",DC
135,Zawavari ,Public,Good,Brown,Red,Male,Yes,8,"2009, June",Marvel
136,Anjeli Singh ,Public,Good,Blue,Black,Female,Yes,16,"2005, May",DC
137,Anais ,Secret,Bad,Black,Black,Female,Yes,4,"2000, October",Marvel
138,Konrad Kaslak ,Public,Bad,Blue,White,Male,Yes,5,"1990, September",DC
139,Kura ,Public,Neutral,Brown,Black,Female,Yes,9,"1985, September",Marvel
140,Gail Collins ,Public,Good,Blue,Blond,Female,Yes,9,"2003, December",Marvel
141,Gas Chamber ,Secret,Bad,Black,Black,Male,Yes,1,"2007, December",DC
142,Abigail Arcane ,Public,Good,Blue,White,Female,Yes,182,"1973, January",DC
143,Izan ,Secret,Bad,Blue,Bald,Male,No,1,"1943, February",Marvel
144,Andr\u00e9 Gerard ,Secret,Bad,Blue,Brown,Male,No,20,"1975, April",Marvel
145,John Denetto ,Public,Bad,Blue,Black,Male,Yes,7,"2008, February",DC
146,Powell McTeague ,Public,Good,Brown,Black,Male,Yes,5,"2011, December",Marvel
147,Wizened Sage ,Secret,Neutral,Brown,Black,Male,Yes,2,1987,DC
148,Zale ,Secret,Good,Blue,Black,Female,Yes,4,"2008, April",DC
149,Hero Cruz ,Secret,Good,Brown,Black,Male,Yes,21,"1996, September",DC
150,Ixion ,Public,Bad,Red,Green,Male,No,4,"1988, December",DC
151,Hooty the Owl ,Public,Good,Blue,Brown,Male,Yes,46,"1941, April",DC
152,Zzzax ,Public,Bad,Brown,No,Unknown,Yes,32,"1973, August",Marvel
153,"Peter Merkel, Jr. ",Secret,Bad,Grey,Red,Male,Yes,72,"2005, July",DC
154,Eric Bolton ,Public,Bad,Brown,Grey,Male,Yes,4,"1966, January",DC
155,Beryl ,Non-dual,Bad,Blue,Black,Male,Yes,2,"1990, August",Marvel
156,Raek ,Secret,Bad,White,Brown,Male,Yes,1,"1987, September",Marvel
157,Mala of Bana-Mighdall ,Non-dual,Good,Blue,Brown,Female,Yes,1,"1994, October",DC
158,Sha Shan ,Public,Good,Grey,Black,Female,Yes,48,"1972, May",Marvel
159,Arthur Goddard ,Secret,Bad,Brown,Bald,Male,Yes,13,"1986, July",Marvel
160,Nicholas Bassaglia ,Public,Bad,Blue,Black,Male,Yes,5,"1988, May",DC
161,Jonathan Warrawa ,Secret,Bad,Black,Brown,Male,Yes,1,"2006, September",DC
162,Kingii ,Secret,Good,Yellow,No,Male,Yes,1,"2008, July",Marvel
163,Cossack the Dark Rider ,Secret,Bad,Brown,Brown,Male,Yes,5,"1986, March",DC
164,Headmaster ,Secret,Bad,Blue,White,Male,Yes,2,"1982, June",DC
165,Daniel Shawcross ,Non-dual,Bad,Brown,Brown,Male,Yes,3,"2005, April",Marvel
166,Daphne Dean ,Public,Good,Blue,Red,Female,Yes,9,"1962, February",DC
167,Constantius ,Public,Bad,Brown,Brown,Male,No,1,"1975, April",Marvel
168,Karen Anderson ,Public,Neutral,Blue,Brown,Female,Yes,3,"2011, July",Marvel
169,Bruce Babbage ,Public,Bad,Brown,Grey,Male,No,13,"2010, June",Marvel
170,Nora Fries ,Secret,Bad,Blue,Blond,Female,Yes,4,"1997, May",DC
171,Jonah Lamb ,Public,Good,Red,Black,Male,Yes,1,"1942, June",Marvel
172,Zuras ,Non-dual,Good,Blue,Red,Male,No,52,"1940, August",Marvel
173,Jonathan Brace ,Secret,Bad,Red,Bald,Male,Yes,1,"1994, August",Marvel
174,Charles P. Irwin ,Public,Good,Blue,Brown,Male,Yes,3,"1978, October",Marvel
175,Margaret Dillon ,Public,Good,Brown,Black,Female,Yes,5,"2006, February",Marvel
176,Dan Smoltz ,Public,Neutral,Black,Bald,Male,Yes,1,"2008, February",Marvel
177,Slug ,Non-dual,Bad,Blue,Brown,Male,Yes,1,"1939, October",Marvel
178,Jagrfelm ,Public,Neutral,Yellow,Green,Male,Yes,6,"2000, April",Marvel
179,Nogor ,Secret,Bad,Red,No,Male,Yes,5,"2008, September",Marvel
180,Wu Cheng ,Public,Good,Blue,Black,Male,No,4,"1982, October",DC
181,Terrence McGinnis ,Secret,Good,Red,Black,Male,Yes,6,"2010, August",DC
182,Targi ,Public,Bad,Yellow,Brown,Male,Yes,1,"1990, April",Marvel
183,Major Thorn ,Public,Good,Green,Black,Male,Yes,34,"1952, January",Marvel
184,Adam Simon ,Secret,Good,Blue,Black,Male,Yes,1,"2008, November",Marvel
185,Ramia ,Secret,Bad,Black,Black,Female,Yes,10,"1966, June",DC
186,Microtron II ,Secret,Good,Yellow,Brown,Unknown,Yes,17,"1984, May",Marvel
187,Victor Goodman ,Secret,Bad,Brown,Blond,Male,Yes,3,"2009, April",DC
188,Annie Christopher ,Secret,Good,Brown,Black,Female,Yes,8,"1974, July",Marvel
189,Milo van Sett ,Secret,Bad,Green,Black,Male,Yes,2,"1949, March",Marvel
190,Short Round ,Public,Good,Brown,Black,Male,Yes,7,"1979, February",DC
191,Boris Dhumov ,Public,Bad,Brown,Red,Male,Yes,1,"1991, June",DC
192,Homer Hamlen ,Non-dual,Bad,Red,Black,Male,Yes,1,"1946, March",Marvel
193,Sooraya Qadir ,Secret,Good,Brown,Brown,Female,Yes,125,"2002, December",Marvel
194,Siv ,Non-dual,Good,Blue,Blue,Male,Yes,2,"2002, January",DC
195,Keith Kraft ,Secret,Bad,Brown,Black,Male,Yes,20,"1990, January",Marvel
196,Praxagora ,Public,Good,Blue,No,Female,No,19,"2006, July",Marvel
197,Eric Bondi ,Public,Good,Green,Brown,Male,No,3,"2002, September",Marvel
198,Franz Lubischt ,Public,Bad,Black,No,Male,Yes,2,"1993, January",Marvel
199,Brighteyes ,Secret,Good,Yellow,Blue,Male,Yes,1,"1984, July",DC
200,Helen Cobb ,Public,Good,Blue,Blond,Female,No,7,"2012, September",Marvel
201,Conal ,Secret,Good,Hazel,Black,Male,Yes,1,"1987, May",Marvel
202,Sala\u1e25 ad-Din Yusuf ibn Ayyub ,Public,Neutral,Brown,Black,Male,No,3,"1949, January",Marvel
203,Oliver Evans ,Public,Good,Brown,Black,Male,Yes,9,"2002, May",DC
204,Chanda ,Secret,Bad,Brown,Black,Male,Yes,1,"1993, March",Marvel
205,Thommanom ,Secret,Bad,Red,No,Male,No,4,"1992, June",Marvel
206,Steven Frank ,Secret,Bad,Black,Brown,Male,Yes,1,"2010, July",DC
207,Harley Traynor ,Public,Bad,Brown,Black,Male,Yes,3,"1999, December",Marvel
208,Gretchen Carrenna ,Public,Neutral,Black,Blond,Female,No,1,"1989, December",Marvel
209,Emmie Stevens ,Public,Good,Brown,Brown,Female,Yes,1,"2011, August",Marvel
210,Malia ,Public,Bad,Blue,White,Female,Yes,2,"2010, January",DC
211,Seraph ,Public,Good,Brown,Black,Female,Yes,5,"2001, July",DC
212,Centauria ,Secret,Good,Blue,No,Female,Yes,1,"1980, September",Marvel
213,Felicity Smoak ,Public,Neutral,Blue,Black,Female,Yes,33,"1984, May",DC
214,"Anthony Angelo, Jr. ",Public,Neutral,Auburn,White,Male,Yes,14,"1989, April",DC
215,"Joseph Danvers, Sr. ",Secret,Neutral,Brown,Brown,Male,Yes,5,"1978, January",Marvel
216,Candra ,Secret,Neutral,Blue,Blond,Female,No,23,"1993, December",Marvel
217,Caleb Skinner ,Public,Bad,Brown,Black,Male,No,1,"2010, November",DC
218,Francis Smith ,Public,Neutral,Blue,Brown,Male,Yes,3,"2000, August",Marvel
219,Emil Hamilton ,Public,Bad,Hazel,Grey,Male,Yes,126,"1987, January",DC
220,Arkkis Chummuck ,Public,Good,Brown,Brown,Male,No,17,"1980, July",DC
221,Philoctetes ,Public,Good,Brown,Brown,Male,Yes,2,"1979, November",Marvel
222,Olivia Hook ,Secret,Good,Brown,Blond,Female,Yes,1,"2006, July",Marvel
223,Meridian Mychaels ,Secret,Good,Brown,Brown,Female,Yes,18,"1994, October",DC
224,Lady Stilt-Man ,Secret,Bad,Blue,Red,Female,Yes,15,"2010, January",Marvel
225,Leslie Evans ,Non-dual,Good,Green,Black,Male,Yes,1,"1960, November",Marvel
226,Mindwave ,Secret,Neutral,Grey,White,Male,No,5,"2007, October",Marvel
227,Latisha Arnold ,Public,Bad,Brown,Black,Male,Yes,3,"1994, February",Marvel
228,Raymond Keyes ,Secret,Good,White,Brown,Male,Yes,3,"2004, July",Marvel
229,Marcia Claiborne ,Secret,Good,Red,Blond,Female,No,6,"1988, September",DC
230,Hoogin ,Public,Bad,Brown,Grey,Male,Yes,1,"1972, April",DC
231,Nicki Jones ,Public,Good,Blue,Brown,Female,Yes,9,"2006, November",DC
232,Grosso ,Public,Bad,Black,Black,Male,No,1,"1941, October",Marvel
233,Black Light ,Secret,Bad,White,White,Male,No,4,"1990, June",Marvel
234,Ismael Ortega ,Non-dual,Good,Brown,Black,Male,Yes,18,"2004, July",Marvel
235,George Calderon ,Public,Neutral,Brown,Brown,Male,No,1,"2007, January",DC
236,Andrew Johnson ,Secret,Good,Brown,Brown,Male,Yes,1,"1998, May",DC
237,Raymond Terrill ,Secret,Good,Green,Red,Male,Yes,192,"1992, February",DC
238,Vegas ,Secret,Neutral,Brown,Brown,Male,Yes,3,"2005, December",Marvel
239,King Thamos ,Public,Bad,Black,Brown,Male,No,1,"1986, September",Marvel
240,Christine Madison ,Secret,Neutral,Blue,Blond,Female,Yes,17,"1960, August",DC
241,Modt ,Secret,Bad,Black,Brown,Unknown,Yes,2,"1977, December",Marvel
242,Mister Whisper ,Secret,Bad,Blue,Black,Male,No,5,"1990, April",DC
243,Thunder ,Public,Good,Blue,Black,Male,Yes,3,"1955, May",Marvel
244,Alisher Sham ,Secret,Bad,Grey,Grey,Male,Yes,6,"1993, April",Marvel
245,Paulletz ,Secret,Bad,Brown,Brown,Male,Yes,4,"2007, February",Marvel
246,Angela Cairn ,Secret,Good,White,Blond,Female,Yes,7,"1992, July",Marvel
247,Menalaos ,Public,Good,Brown,Black,Male,Yes,1,"1942, June",Marvel
248,Veronica Sinclair ,Secret,Bad,Green,Red,Female,Yes,17,"2001, September",DC
249,Dean Boswell ,Secret,Good,Blue,No,Male,No,4,"2003, February",Marvel
250,Robert Frank Jr. ,Secret,Good,Blue,Bald,Male,Yes,25,"1974, August",Marvel
251,Charlie Stokes ,Public,Good,Brown,Black,Male,Yes,1,"2011, July",Marvel
252,Dangerous Jinn ,Secret,Bad,White,No,Male,Yes,5,"2013, January",Marvel
253,Robert Daley ,Secret,Good,Black,No,Male,Yes,39,"1938, July",DC
254,Pearla ,Public,Good,Blue,Auburn,Female,Yes,7,"1963, July",Marvel
255,Balin ,Public,Good,Blue,Black,Male,Yes,7,"2000, October",Marvel
256,Connie Noleski ,Public,Bad,Blue,Blond,Female,Yes,8,1987,DC
257,Derek McDowell ,Public,Bad,Blue,Black,Male,No,9,"1973, August",Marvel
258,Devil-Spider ,Secret,Bad,Brown,Blond,Male,Yes,2,"2013, January",Marvel
259,Colonel Schutter ,Public,Bad,Yellow,Bald,Male,No,1,"1942, December",Marvel
260,Crab ,Public,Bad,Auburn,Blond,Female,Yes,1,"1989, February",Marvel
261,Adrian Defoe ,Secret,Good,Blue,No,Male,Yes,4,"2004, January",Marvel
262,Abdul Smith ,Public,Good,Brown,Black,Male,Yes,5,"1975, May",DC
263,Sligguth ,Secret,Bad,Yellow,No,Unknown,Yes,7,"1972, November",Marvel
264,Beta Ray Bill ,Non-dual,Good,White,No,Male,Yes,153,"1983, November",Marvel
265,Nick Bisley ,Secret,Bad,Yellow,No,Male,Yes,1,"1999, November",Marvel
266,Su ,Non-dual,Bad,Black,Bald,Male,Yes,2,"1970, September",Marvel
267,Grey Elk ,Secret,Good,Blue,White,Male,Yes,2,"1971, December",DC
268,Kate Vinokur ,Public,Good,Brown,Brown,Female,Yes,4,"2001, October",Marvel
269,Jartran Radd ,Public,Good,Grey,Bald,Male,No,4,"1991, June",Marvel
270,Spyderr ,Secret,Bad,Green,Blond,Male,Yes,2,"1983, October",DC
271,Wilhelm von Logor ,Secret,Bad,Blue,Black,Male,Yes,1,"1942, January",Marvel
272,Masterblaster ,Secret,Bad,Photocellular,Brown,Male,Yes,2,"1991, October",Marvel
273,Wally Bevins ,Public,Neutral,Blue,Blond,Male,Yes,2,"1974, August",Marvel
274,Simon Stagg ,Public,Bad,Blue,White,Male,Yes,83,"1965, January",DC
275,Hiro-Amin ,Non-dual,Bad,Blue,Bald,Male,No,4,"2008, August",Marvel
276,Guillermo Barrera ,Secret,Bad,Brown,Black,Male,Yes,23,"1998, July",DC
277,Detective Fontana ,Public,Bad,Brown,Blond,Male,Yes,1,"2007, September",Marvel
278,Stallion of Doom ,Secret,Good,Blue,Black,Male,Yes,2,"1966, September",Marvel
279,Belle Jackson ,Secret,Good,Blue,Black,Female,Yes,10,"1989, January",DC
280,Bernard Ferguson ,Public,Bad,Black,Black,Male,Yes,12,"1986, June",DC
281,Franz Cadavus ,Secret,Bad,Blue,Blond,Male,Yes,18,"1968, June",Marvel
282,Marlon Corbet ,Public,Good,Brown,Black,Male,Yes,3,"1997, February",DC
283,James Rook ,Secret,Good,Green,Brown,Male,Yes,58,"1969, May",DC
284,Preston Allen ,Secret,Bad,White,Blue,Male,No,2,"2003, October",Marvel
285,Gilbert Wiles ,Public,Good,Grey,Grey,Male,Yes,1,"2006, January",Marvel
286,Volpan ,Public,Good,Red,Black,Male,Yes,2,"1973, July",Marvel
287,Marty ,Public,Bad,Black,Brown,Male,Yes,1,"1980, October",Marvel
288,Black Mike ,Secret,Bad,Brown,Black,Male,Yes,2,"1948, November",Marvel
289,Nathaniel Omen ,Non-dual,Bad,Black,Bald,Male,Yes,5,"1973, June",Marvel
290,Blowdart ,Secret,Bad,Brown,Brown,Unknown,Yes,2,"1984, June",DC
291,Impala ,Secret,Bad,Brown,Bald,Female,Yes,9,"1991, July",Marvel
292,Override ,Public,Bad,Blue,Brown,Male,Yes,1,"1997, September",DC
293,Jolt II ,Secret,Bad,Brown,Brown,Female,Yes,2,"1992, January",DC
294,Cora ,Public,Good,Blue,Blond,Female,Yes,6,"1990, March",DC
295,Skirl ,Non-dual,Good,Blue,Brown,Male,Yes,8,"1988, March",DC
296,Robert Russo ,Public,Good,Grey,Brown,Male,Yes,2,"1974, October",Marvel
297,Anthony Mantegna ,Secret,Good,Grey,Black,Male,Yes,24,"1988, May",DC
298,Sir Gawain ,Public,Good,Brown,Black,Male,Yes,2,"1955, May",Marvel
299,Lance Johnson ,Public,Neutral,Blue,Brown,Male,Yes,1,"1941, December",Marvel
300,Quentin Templeton ,Secret,Bad,Blue,Blond,Male,Yes,4,"1996, April",Marvel
301,Ivana Christina Borodin Molotova ,Secret,Bad,Brown,Red,Female,No,21,"1987, December",DC
302,Bloque ,Secret,Bad,Blue,No,Male,Yes,1,"2002, May",DC
303,Phobos ,Public,Bad,Red,Red,Male,Yes,22,"1969, August",DC
304,Richard Simpson ,Public,Neutral,Blue,Brown,Male,Yes,8,"1988, July",DC
305,Frederick DeLamb ,Secret,Bad,Blue,Brown,Male,Yes,11,"1983, August",DC
306,Agent Kepler ,Secret,Bad,Photocellular,Blond,Male,Yes,1,"1998, February",Marvel
307,Pamela Dean ,Public,Good,White,Black,Female,Yes,1,"1980, June",Marvel
308,Weather Witch ,Secret,Bad,Blue,Brown,Female,No,6,"2008, February",DC
309,Rick Sheridan ,Non-dual,Good,Brown,Brown,Male,Yes,48,"1991, June",Marvel
310,Lucas Brand ,Secret,Bad,Red,Brown,Male,Yes,12,"1973, June",Marvel
311,Sara Butters ,Secret,Good,Brown,Grey,Female,Yes,5,"2011, April",DC
312,Peter Quill ,Secret,Good,Blue,Blond,Male,Yes,119,"1976, January",Marvel
313,Wyld ,Public,Bad,Blue,Brown,Male,Yes,9,"2009, November",DC
