Violet Evergarden Movie,Movie (1 eps),Sep 2020 - Sep 2020,"552,399 members",https://myanimelist.net/anime/37987/Violet_Evergarden_Movie,https://cdn.myanimelist.net/r/100x140/images/anime/1825/110716.jpg?s=38d96ccb027cd045ccabfd4e03f64841,8.90
Owarimonogatari 2nd Season,TV (7 eps),Aug 2017 - Aug 2017,"381,877 members",https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season,https://cdn.myanimelist.net/r/100x140/images/anime/6/87322.jpg?s=5d0ef74fd5c7e44a1e695e85d0b86331,8.88
"""Oshi no Ko""",TV (11 eps),Apr 2023 - Jun 2023,"573,221 members",https://myanimelist.net/anime/52034/Oshi_no_Ko,https://cdn.myanimelist.net/r/100x140/images/anime/1812/134736.jpg?s=ec39651bb29c97e364b842163f6c50f1,8.88
Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,TV (14 eps),Jul 2018 - Oct 2018,"186,792 members",https://myanimelist.net/anime/37491/Gintama__Shirogane_no_Tamashii-hen_-_Kouhan-sen,https://cdn.myanimelist.net/r/100x140/images/anime/1776/96566.jpg?s=a87ac154753a26bfed4dbd557a8544ba,8.88
Monster,TV (74 eps),Apr 2004 - Sep 2005,"1,021,020 members",https://myanimelist.net/anime/19/Monster,https://cdn.myanimelist.net/r/100x140/images/anime/10/18793.jpg?s=a195ca612dd64dac5ffb27c8ea9d0b32,8.87
Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Movie (1 eps),Dec 2022 - Dec 2022,"188,498 members",https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai,https://cdn.myanimelist.net/r/100x140/images/anime/1670/130060.jpg?s=1f94b50d924740fa5a4a748091963523,8.86
Kimi no Na wa.,Movie (1 eps),Aug 2016 - Aug 2016,"2,608,836 members",https://myanimelist.net/anime/32281/Kimi_no_Na_wa,https://cdn.myanimelist.net/r/100x140/images/anime/5/87048.jpg?s=0c69e78d81c675e0bbceae647b10dc5f,8.85
Vinland Saga Season 2,TV (24 eps),Jan 2023 - Jun 2023,"454,356 members",https://myanimelist.net/anime/49387/Vinland_Saga_Season_2,https://cdn.myanimelist.net/r/100x140/images/anime/1170/124312.jpg?s=ff4c3d1432e28f2439e4ed886c032504,8.84
Bocchi the Rock!,TV (12 eps),Oct 2022 - Dec 2022,"437,172 members",https://myanimelist.net/anime/47917/Bocchi_the_Rock,https://cdn.myanimelist.net/r/100x140/images/anime/1448/127956.jpg?s=7e81931856657309a247d932fd1d74d8,8.84
Gintama.: Shirogane no Tamashii-hen,TV (12 eps),Jan 2018 - Mar 2018,"201,200 members",https://myanimelist.net/anime/36838/Gintama__Shirogane_no_Tamashii-hen,https://cdn.myanimelist.net/r/100x140/images/anime/12/89603.jpg?s=d1ae6c96378fe82ecb9481705060774c,8.81
